u_id,grade30,grade36,kapr,mean_confidence,mean_confidence_right,mean_confidence_wrong,percent_attention,percent30,percent36,page_1_kapr,page_2_kapr,page_3_kapr,page_4_kapr,page_5_kapr,page_6_kapr,mode,mode_description,page_1_attention,page_2_attention,page_3_attention,page_4_attention,page_5_attention,page_6_attention,page_1_score,page_2_score,page_3_score,page_4_score,page_5_score,page_6_score,duration,date,section,moderate,minimum,budget,budget_percent_used
110,26,32,3.2377280329362783,1.5,1.53125,1.25,1,86.66666666666667,88.88888888888889,0.5866765246507852,0.8330141471588836,0.6179744094189215,0.07716049382716006,1.054819023569023,0.06808343431150493,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.8,0.8,1,1,0.8,16.4833333333333,2018-04-03T21:26:39Z,2,36.319067,5.675096,100,3.2377280329362783
111,24,30,12.617202956383759,1.8611111111111112,1.9333333333333333,1.5,1,80,83.33333333333334,0.6155539409067621,2.09939981613369,4.920026130382357,1.566453049930062,2.4931509714118416,0.9226190476190457,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.6,0.8,1,0.4,1,9.33333333333333,2018-04-03T21:26:38Z,2,36.886574,6.475996,100,12.617202956383759
112,27,32,2.631981873203056,2.611111111111111,2.6875,2,0.8333333333333334,90,88.88888888888889,0.42060875144272925,0.8942695945611752,1.0593173319129567,0,0.25778619528619506,0,4,Clickable & meter with high limit,1,0,1,1,1,1,1,0.8,0.8,1,1,0.8,8.28333333333333,2018-04-02T18:58:27Z,2,37.772831,5.606789,37.772831,6.967923249393344
119,20,25,4.383259497301835,2.2333333333333334,2.36,1.6,1,80,83.33333333333334,0.5347201194145812,1.0945367269381139,1.2093335989701475,0.06313131313131226,0.8524397413286302,0.62909799751905,3,Clickable & meter with no limit,0,1,1,1,1,1,1,0.75,0.6,0.75,1,0.75,7.16666666666667,2018-04-03T21:27:07Z,2,35.685805,6.00199,100,4.383259497301835
121,24,30,5.728714531448998,2.8055555555555554,2.9,2.3333333333333335,1,80,83.33333333333334,0.6052909724152722,0.48109393195742056,2.1385616889446624e-4,0.9856630824372765,1.67223186546858,1.9842208230015541,2,Clickable w/out meter,1,1,1,1,1,1,1,0.6,0.6,1,0.6,1,12.7166666666667,2018-04-06T18:50:22Z,2,36.886574,6.475996,100,5.728714531448998
122,26,32,0,2.5277777777777777,2.5625,2.25,1,86.66666666666667,88.88888888888889,0,0,0,0,0,0,1,Full disclosure,1,1,1,1,1,1,1,1,0.6,1,0.8,0.8,10.9166666666667,2018-04-07T19:00:36Z,2,37.772831,5.606789,100,0
125,26,32,32.901212864210756,2.4722222222222223,2.625,1.25,1,86.66666666666667,88.88888888888889,2.9552056289664064,4.99631906363788,2.7090301088603708,9.323026976756806,3.818654276846667,9.098976809142625,4,Clickable & meter with high limit,1,1,1,1,1,1,0.8,1,0.6,1,0.8,1,10.3333333333333,2018-04-02T19:02:00Z,2,37.615918,5.056235,37.615918,87.46619679522577
127,26,32,3.075161996577549,2.5555555555555554,2.53125,2.75,1,86.66666666666667,88.88888888888889,0.7450319454752293,1.0115159245351384,0.5703794727727807,0,0.6138260516438627,0.13440860215053796,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.8,0.8,1,1,0.8,9.48333333333333,2018-04-03T21:38:11Z,2,37.427997,5.586509,100,3.075161996577549
130,24,30,0,1.9722222222222223,2.1333333333333333,1.1666666666666667,1,80,83.33333333333334,0,0,0,0,0,0,1,Full disclosure,1,1,1,1,1,1,0.4,0.8,1,0.8,0.8,1,7.56666666666667,2018-04-07T18:49:55Z,2,36.319067,5.675096,100,0
131,27,33,7.582124573784993,2.1944444444444446,2.303030303030303,1,1,90,91.66666666666666,0.8880859284085085,1.133477542669089,1.6980197293670714,1.4527972214464162,2.022839389989147,0.386904761904761,4,Clickable & meter with high limit,1,1,1,1,1,1,1,1,0.6,1,0.8,1,11.0833333333333,2018-04-02T18:59:39Z,2,36.886574,6.475996,36.886574,20.555242061203604
132,25,31,8.853042297198478,2.0555555555555554,2.064516129032258,2,1,83.33333333333334,86.11111111111111,1.589973462474108,2.4680366333951027,1.3218175532226901,1.1494252873563227,1.388049161486662,0.9357401992635923,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.8,0.8,0.6,1,1,6,2018-04-03T21:29:59Z,2,37.772831,5.606789,100,8.853042297198478
141,30,36,6.306779529989154,2.2222222222222223,2.2222222222222223,NaN,1,100,100,0.4563492063492056,1.1973905723905731,2.579862324811079,0.039682539682539986,1.170399648660518,0.8630952380952381,5,Clickable & meter wih limit,1,1,1,1,1,1,1,1,1,1,1,1,11.45,2018-04-06T20:16:40Z,2,36.886574,6.475996,6.475996,97.38702015858493
147,23,29,4.557008377266486,2.25,2.3793103448275863,1.7142857142857142,1,76.66666666666667,80.55555555555556,0.7719136659053375,0.6029541446208128,0.16615583156190958,0.938336343934068,0.9675328994084358,1.1101154918359226,5,Clickable & meter wih limit,1,1,1,1,1,1,0.8,0.8,0.6,0.8,0.8,0.8,8.56666666666667,2018-04-06T21:36:11Z,2,37.427997,5.586509,5.586509,81.57166447358244
149,28,34,18.31670484850536,2.111111111111111,2.1470588235294117,1.5,1,93.33333333333333,94.44444444444444,1.9703186643881285,4.130407321245765,2.7257330365519823,1.3710379658655505,2.9542546448252915,5.164953215628642,4,Clickable & meter with high limit,1,1,1,1,1,1,1,1,0.8,1,0.8,1,16.95,2018-04-02T19:01:18Z,2,35.685805,6.00199,35.685805,51.327705367737565
151,25,30,1.2333479724784073,2.942857142857143,2.933333333333333,3,1,83.33333333333334,85.71428571428571,0.6944444444444449,0,0,0,0.5389035280339625,0,3,Clickable & meter with no limit,0,1,1,1,1,1,1,0.8,0.6,1,0.8,0.8,4.65,2018-04-03T21:26:40Z,2,36.886574,6.475996,100,1.2333479724784073
153,24,30,6.229433678221901,2.361111111111111,2.466666666666667,1.8333333333333333,1,80,83.33333333333334,0.985311846692971,2.8237465920795293,1.231060550992403,0.47756903061524847,0.6828104726565635,0.028935185185186008,4,Clickable & meter with high limit,1,1,1,1,1,1,1,0.6,0.4,1,1,0.8,9.85,2018-04-02T18:59:44Z,2,36.06573,5.752679,36.06573,17.272445832156734
157,17,22,0.20833333333333334,2.25,2.3181818181818183,2.142857142857143,0.8333333333333334,56.666666666666664,61.111111111111114,0,0,0.20833333333333334,0,0,0,5,Clickable & meter wih limit,1,1,1,0,1,1,0.6,0.8,0.6,0.2,0.6,0.6,4.53333333333333,2018-04-06T21:47:48Z,2,37.427997,5.586509,5.586509,3.729222191055869
160,26,32,5.298704223844957,1.6944444444444444,1.78125,1,1,86.66666666666667,88.88888888888889,0.9931219310961916,2.0305637547962103,0.3715325299125265,0.09021577380952417,0.8419864504467205,0.9712837837837833,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.8,0.8,1,1,0.8,14.05,2018-04-03T21:29:03Z,2,36.319067,5.675096,100,5.298704223844957
162,26,32,3.0551979852768056,2.25,2.3125,1.75,1,86.66666666666667,88.88888888888889,0.22522522522522523,1.2324793465144344,0,0,0.3739316239316236,1.2235617896055224,4,Clickable & meter with high limit,1,1,1,1,1,1,0.8,0.8,1,1,0.8,0.8,8.73333333333333,2018-04-02T19:00:57Z,2,37.772831,5.606789,37.772831,8.088347906136043
165,24,30,4.537726207035036,2.2222222222222223,2.3,1.8333333333333333,1,80,83.33333333333334,0.2663321285128555,0.8342312954026053,0.930065481063538,0.3909750224014332,2.046214082881531,0.06990819677307347,5,Clickable & meter wih limit,1,1,1,1,1,1,0.8,0.6,0.8,1,0.8,0.8,14.9666666666667,2018-04-06T21:34:35Z,2,37.615918,5.056235,5.056235,89.74516032255298
167,27,33,1.032169741727585,2.25,2.303030303030303,1.6666666666666667,1,90,91.66666666666666,0.4606453156121445,0.001144953342660071,0.5703794727727804,0,0,0,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,1,1,1,0.8,0.8,11.95,2018-04-03T21:32:57Z,2,37.427997,5.586509,100,1.032169741727585
173,25,31,8.867679520553231,2.9444444444444446,2.967741935483871,2.8,1,83.33333333333334,86.11111111111111,1.6131337748391834,1.6346460997593777,1.2310605509924026,0.7704170256691283,1.0884853764195341,2.5299366928736053,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.8,0.6,0.8,0.8,1,5.3,2018-04-03T21:26:40Z,2,36.06573,5.752679,100,8.867679520553231
179,26,32,9.369191056203539,2.7777777777777777,2.78125,2.75,1,86.66666666666667,88.88888888888889,0.20237884957331162,1.479700135965221,2.6583721912631058,1.541498655913978,2.010771609815423,1.4764696136724993,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.6,1,1,0.8,1,10.0666666666667,2018-04-03T21:26:39Z,2,35.685805,6.00199,100,9.369191056203539
185,29,35,9.615140332467242,2.25,2.257142857142857,2,1,96.66666666666667,97.22222222222221,1.6130769463530092,2.0485272190160715,1.33651972942955,0,3.766277591405468,0.8507388462631429,2,Clickable w/out meter,1,1,1,1,1,1,1,1,1,1,0.8,1,12.5,2018-04-06T19:45:05Z,2,37.615918,5.056235,100,9.615140332467242
190,22,28,7.059881086916773,2.5833333333333335,2.642857142857143,2.375,1,73.33333333333333,77.77777777777779,0.7475549142215804,1.0454441594792465,0.5410546741191915,0.9555811571940592,1.3941562116434776,2.376089970259218,4,Clickable & meter with high limit,1,1,1,1,1,1,0.8,0.6,0.6,0.8,0.8,0.8,8.88333333333333,2018-04-02T18:40:15Z,2,36.319067,5.675096,36.319067,19.438497929797517
191,28,34,7.618313045525142,2,2,2,1,93.33333333333333,94.44444444444444,0.4317367220593031,0.8622418501450761,2.0043518079274705,0.645342312008979,2.8521295308734915,0.8225108225108224,4,Clickable & meter with high limit,1,1,1,1,1,1,1,1,0.8,1,0.8,1,11.9666666666667,2018-04-02T18:58:28Z,2,36.886574,6.475996,36.886574,20.653349496554334
192,24,30,2.192572190628701,2.138888888888889,2.2,1.8333333333333333,1,80,83.33333333333334,2.777061116842061e-4,1.1213104429189136,1.0310077989080444,0.018274853801169444,0.021701388888889284,0,5,Clickable & meter wih limit,1,1,1,1,1,1,0.8,0.4,1,1,0.6,1,5.88333333333333,2018-04-06T21:33:21Z,2,37.772831,5.606789,5.606789,39.10566619554795
197,26,32,7.946322343998373,2.6944444444444446,2.75,2.25,1,86.66666666666667,88.88888888888889,1.0739467891286725,2.153190816918827,1.5151473364104189,2.5296519199002887e-4,1.6711130207908784,1.5326714155575862,2,Clickable w/out meter,1,1,1,1,1,1,0.8,1,0.8,1,0.8,0.8,11.9333333333333,2018-04-06T19:02:37Z,2,37.427997,5.586509,100,7.946322343998373
200,26,32,6.136067494939267,3,3,3,1,86.66666666666667,88.88888888888889,0.9931219310961916,0.8012905584399941,0.7180098335284208,0.4513888888888884,1.966741557734205,1.2055147252515672,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.8,0.8,0.8,1,1,9.93333333333333,2018-04-03T21:30:45Z,2,36.319067,5.675096,100,6.136067494939267
202,26,32,2.5863436715340913,2.0555555555555554,2.09375,1.75,1,86.66666666666667,88.88888888888889,2.7770611168398407e-4,0.5024045151960965,0.8871038897629318,0,0.2801074846565784,0.9164500758068006,3,Clickable & meter with no limit,1,1,1,1,1,1,0.8,0.8,0.6,1,1,1,17.6166666666667,2018-04-03T21:31:05Z,2,37.772831,5.606789,100,2.5863436715340913
207,24,29,3.585372320311886,3,3,3,0.8333333333333334,80,80.55555555555556,0.44372957516339884,0.6361476787722007,9.963334927465262e-5,0.4385964912280693,0.21494708994709022,1.851851851851852,4,Clickable & meter with high limit,1,0,1,1,1,1,1,0.8,0.4,1,0.6,1,14.5333333333333,2018-04-02T18:58:57Z,2,37.427997,5.586509,37.427997,9.579386041716008
209,30,36,3.262259106218145,1.9166666666666667,1.9166666666666667,NaN,1,100,100,0.736853055922517,0.6510040671598152,0.3286997220621557,0,1.289577416133023,0.25612484494063437,4,Clickable & meter with high limit,1,1,1,1,1,1,1,1,1,1,1,1,10.4833333333333,2018-04-02T19:20:10Z,2,35.685805,6.00199,35.685805,9.141615570163388
210,24,30,0.11631513647642708,2.9722222222222223,2.966666666666667,3,1,80,83.33333333333334,0,0.02670940170940171,0.08960573476702537,0,0,0,3,Clickable & meter with no limit,1,1,1,1,1,1,1,0.6,0.8,0.8,0.8,0.8,15.85,2018-04-03T21:26:53Z,2,36.319067,5.675096,100,0.11631513647642708
