u_id,section,page,page_score,attention
7,4,6,1,1
7,5,1,0.8,1
7,5,2,0.6,1
7,5,3,1,1
7,5,4,1,1
7,5,5,1,1
7,5,6,1,1
7,6,1,0.8571428571428571,1
7,6,2,0.75,1
7,6,3,0.8,1
7,6,4,0.8,1
7,6,5,1,1
7,6,6,1,1
7,7,1,1,2
7,7,2,1,1
7,7,3,1,1
7,7,4,1,1
7,7,5,0.8,1
7,7,6,1,0
7,8,1,1,2
7,8,2,1,1
7,8,3,1,1
7,8,4,0.875,1
7,8,5,0.9090909090909091,1
7,8,6,0.875,0
7,9,1,1,1
7,9,2,1,1
7,9,3,1,2
7,9,4,1,0
7,9,5,1,2
7,9,6,1,0
7,10,1,1,3
7,10,2,1,1
7,10,3,1,0
7,10,4,1,1
7,10,5,1,1
7,10,6,0.7857142857142857,0
8,1,1,0.6,1
8,1,2,0.4,1
8,1,3,1,1
8,1,4,1,1
8,1,5,0.6,1
8,1,6,0.8,1
8,2,1,1,1
8,2,2,1,1
8,2,3,0.8,1
8,2,4,1,1
8,2,5,1,1
8,2,6,0.8,1
8,3,1,0.8,1
8,3,2,0.8,1
8,3,3,1,1
8,3,4,1,1
8,3,5,1,1
8,3,6,1,1
9,1,1,0.8,1
9,1,2,0.8,1
9,1,3,0.6,1
9,1,4,1,1
9,1,5,0.8,1
9,1,6,1,1
9,2,1,1,1
9,2,2,0.8,1
9,2,3,0.8,1
9,2,4,1,1
9,2,5,1,1
9,2,6,0.8,1
9,3,1,1,1
9,3,2,0.6,1
9,3,3,1,1
9,3,4,1,1
9,3,5,0.8,1
9,3,6,1,1
9,4,1,0.8,1
9,4,2,0.8,1
9,4,3,1,1
9,4,4,1,1
9,4,5,1,1
9,4,6,0.8,1
9,5,1,1,1
9,5,2,0.6,1
9,5,3,1,1
9,5,4,1,1
9,5,5,1,1
9,5,6,0.8,1
9,6,1,0.5714285714285714,0
9,6,2,0.8,1
9,6,3,0.6,1
9,6,4,1,1
9,6,5,0.6,1
9,6,6,1,1
9,7,1,1,2
9,7,2,0.15384615384615385,1
9,7,3,1,1
9,7,4,1,1
9,7,5,1,1
9,7,6,0.9166666666666666,0
9,8,1,1,2
9,8,2,0.875,1
9,8,3,1,1
9,8,4,0.875,1
9,8,5,0.9090909090909091,1
9,8,6,0.875,0
9,9,1,1,1
9,9,2,0.5555555555555556,1
9,9,3,1,2
9,9,4,1,0
9,9,5,0.75,2
9,9,6,0.9166666666666666,0
9,10,1,1,3
9,10,2,1,1
9,10,3,1,0
9,10,4,0.9230769230769231,1
9,10,5,0.8666666666666667,1
9,10,6,0.35714285714285715,0
15,1,1,0.8,1
15,1,2,0.8,1
15,1,3,0.4,1
15,1,4,0.6,1
15,1,5,0.8,1
15,1,6,0.8,1
15,2,1,1,1
15,2,2,0.8,1
15,2,3,0.8,1
15,2,4,0.8,1
15,2,5,0.8,1
15,2,6,0.8,1
