u_id,section,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
77,4,1523054973,353,fname,full,1.9787930194815606,0.6724484665661135
77,4,1523054989,89,fname,partial,2.133114007135882,0.15432098765432145
77,4,1523055031,97,sex,full,2.1333637526126656,2.497454767835805e-4
77,4,1523055044,114,lname,partial,2.2302629774188674,0.09689922480620172
77,4,1523055051,114,dob,partial,2.297284941243157,0.06702196382428971
77,4,1523055062,114,dob,full,2.7664386880131833,0.4691537467700262
77,4,1523055088,138,fname,full,3.2694002893203726,0.5029616013071894
77,4,1523055119,154,sex,full,3.2696141454892684,2.138561688957985e-4
77,4,1523055123,154,lname,partial,3.448611758854423,0.17899761336515452
77,4,1523055132,154,lname,full,3.8966404326895487,0.4480286738351258
77,4,1523055170,79,sex,full,3.8968583217064556,2.1788901690689144e-4
77,4,1523055190,262,fname,partial,4.089258514106649,0.19240019240019324
77,5,1523055209,30,fname,partial,0.14866405995438253,0.14866405995438253
77,5,1523055227,273,sex,full,0.14889966865026125,2.3560869587871403e-4
77,5,1523055256,293,sex,full,0.14916464247708158,2.649738268203361e-4
77,5,1523055262,19,sex,full,0.1494214140414478,2.567715643662094e-4
77,5,1523055308,355,dob,partial,0.19890477421321395,0.04948336017176616
77,5,1523055324,141,sex,full,0.1990972987693026,1.9252455608864683e-4
77,5,1523055331,141,lname,full,0.9985680738765141,0.7994707751072115
77,5,1523055344,90,fname,partial,1.2763458516542918,0.2777777777777777
77,5,1523055368,91,sex,full,1.2766189341470513,2.7308249275947993e-4
77,5,1523055389,110,lname,partial,1.3287022674803843,0.05208333333333304
77,5,1523055390,110,dob,partial,1.3836009161290326,0.05489864864864824
77,5,1523055406,137,fname,partial,1.4962135287416456,0.11261261261261302
77,5,1523055413,137,fname,full,1.8881495824424055,0.3919360537007599
77,5,1523055427,152,sex,full,1.8883315209800786,1.8193853767312085e-4
77,5,1523055429,152,lname,partial,2.0740309525343026,0.18569943155422397
77,5,1523055431,152,lname,full,2.8363534253830918,0.7623224728487892
77,5,1523055451,33,fname,partial,3.0279243066091444,0.1915708812260526
77,5,1523055504,78,sex,full,3.0281287279470592,2.0442133791487294e-4
77,5,1523055524,264,fname,partial,3.285914923233254,0.2577861952861946
77,5,1523055524,264,fname,full,3.625245731314062,0.33933080808080796
77,7,1523055805,13,sex,full,2.7770611168443987e-4,2.7770611168443987e-4
77,7,1523055817,144,sex,full,5.025009007121854e-4,2.2479478902774554e-4
77,7,1523055832,361,fname,full,0.407223160178916,0.40672065927820383
77,7,1523055850,100,sex,full,0.4074840036804033,2.608435014872512e-4
77,7,1523055857,112,lname,partial,0.561804991334724,0.15432098765432067
77,7,1523055858,112,dob,partial,0.72577104071744,0.16396604938271608
77,7,1523055903,255,fname,partial,0.9981021954015358,0.27233115468409574
77,7,1523055954,345,lname,partial,1.0544085017078422,0.0563063063063064
77,7,1523056004,76,lname,full,1.6416225539954237,0.5872140522875815
77,7,1523056006,76,sex,full,1.7258750049758163,0.08425245098039258
77,7,1523056040,102,sex,full,1.7261480874685753,2.7308249275903584e-4
77,8,1523056077,272,sex,full,2.68338573827834e-4,2.68338573827834e-4
77,8,1523056097,18,sex,full,5.255686588444626e-4,2.572300850166286e-4
77,8,1523056102,301,sex,full,7.765441484829742e-4,2.5097548963851155e-4
77,8,1523056104,301,lname,full,0.5997319178651932,0.5989553737167103
77,8,1523056112,143,sex,full,0.599945774034088,2.138561688947993e-4
77,8,1523056130,351,fname,full,0.8560706189747225,0.2561248449406345
77,8,1523056138,96,dob,full,1.1737902994395004,0.31771968046477794
77,8,1523056139,96,sex,full,1.2135052594975984,0.03971496005809794
77,8,1523056179,73,sex,full,1.2137226799359746,2.1742043837624792e-4
77,8,1523056182,73,lname,full,1.713803945280155,0.5000812653441804
77,8,1523056188,341,dob,partial,1.9194316509078606,0.2056277056277056
77,8,1523056192,341,lname,partial,2.03847926995548,0.11904761904761929
77,8,1523056199,77,sex,full,2.038704064744508,2.2479478902814876e-4
77,8,1523056203,80,sex,full,2.038899220070928,1.9515532641989353e-4
77,9,1523056259,277,sex,full,2.3282317435062064e-4,2.3282317435062064e-4
77,9,1523056271,290,lname,full,0.38236098308028865,0.382128159905938
